Canopy,Longitude,Latitude
0,-97.305676,49.880527
0,-97.256801,49.874147
0,-97.195176,49.933069
0,-97.08743,49.845145
0,-97.209258,49.83721
0,-97.069774,49.827849
0,-97.070509,49.829666
0,-97.019093,49.898967
0,-97.158593,49.966135
1,-97.128961,49.871175
0,-97.066485,49.889039
0,-97.108101,49.777218
0,-96.98331,49.897285
0,-97.252801,49.905839
0,-97.138443,49.840735
0,-97.085073,49.90054
1,-97.006889,49.895468
0,-97.130791,49.956471
0,-97.199388,49.735923
0,-97.231928,49.880912
0,-97.052994,49.794245
0,-97.33094,49.830258
1,-97.085742,49.938245
0,-97.024828,49.942027
0,-97.185361,49.828586
0,-97.17934,49.950749
0,-97.272089,49.818965
0,-97.208296,49.854865
0,-97.078468,49.835037
0,-97.335342,49.895494
0,-97.163901,49.78079
0,-97.111992,49.970148
0,-97.086217,49.867114
0,-97.322616,49.875265
0,-97.067369,49.789183
0,-97.11075,49.885524
0,-97.317509,49.89277
0,-97.171508,49.891239
0,-97.186761,49.838468
0,-97.169292,49.925926
0,-97.133649,49.784008
0,-97.170137,49.945454
0,-97.246614,49.832308
1,-97.10513,49.833132
0,-97.212233,49.885442
0,-97.19706,49.769247
0,-97.029983,49.897482
0,-97.184415,49.934692
0,-97.045985,49.899343
0,-97.089077,49.926439
0,-97.283127,49.844118
0,-97.257258,49.817892
0,-97.293681,49.929075
0,-97.164527,49.751364
1,-97.122896,49.861834
0,-97.242425,49.841428
0,-97.170869,49.741833
1,-97.295742,49.821651
1,-97.097821,49.867401
0,-97.141321,49.876738
0,-97.220279,49.911155
0,-97.142855,49.838046
0,-97.299817,49.848731
0,-97.125631,49.851484
0,-97.181881,49.765953
0,-97.337541,49.82606
0,-97.218066,49.839358
0,-97.156197,49.969547
0,-97.2102,49.847632
1,-97.234695,49.873935
1,-97.288843,49.904989
1,-97.080864,49.912137
0,-97.141669,49.763047
0,-97.035375,49.798123
1,-97.065568,49.807428
0,-97.173812,49.839993
0,-97.225776,49.826857
0,-97.048034,49.923332
0,-97.219698,49.885539
0,-97.138274,49.880771
0,-97.173641,49.775851
0,-97.19588,49.835868
