Canopy,Longitude,Latitude
0,-97.217284,49.714653
0,-97.213439,49.716078
0,-97.215255,49.719603
0,-97.217939,49.722373
0,-97.218023,49.720795
0,-97.212407,49.716292
0,-97.219303,49.719419
0,-97.218786,49.716326
0,-97.217744,49.722542
0,-97.217594,49.715611
0,-97.219371,49.719422
0,-97.213688,49.717313
0,-97.213297,49.716769
0,-97.210453,49.717596
0,-97.213944,49.721537
0,-97.21436,49.71859
0,-97.219529,49.714808
0,-97.215201,49.722283
0,-97.21749,49.717477
0,-97.214296,49.717626
0,-97.217173,49.721919
0,-97.216273,49.716849
0,-97.212308,49.717016
0,-97.210733,49.718264
0,-97.215865,49.721291
0,-97.220016,49.716805
0,-97.210542,49.718598
0,-97.213819,49.720208
0,-97.218122,49.719787
0,-97.215311,49.716966
0,-97.218616,49.71941
0,-97.210848,49.720547
0,-97.216938,49.717768
0,-97.216384,49.719882
0,-97.21007,49.721995
0,-97.218467,49.715622
0,-97.211161,49.721848
0,-97.21703,49.717192
0,-97.219621,49.72154
0,-97.217382,49.717734
0,-97.213171,49.718842
0,-97.217766,49.718102
0,-97.211917,49.718953
0,-97.211423,49.720215
0,-97.216473,49.722781
0,-97.212361,49.722266
0,-97.216748,49.722855
0,-97.214393,49.715821
0,-97.218257,49.720115
0,-97.217904,49.720524
0,-97.218443,49.715207
0,-97.21823,49.714449
0,-97.218823,49.720006
0,-97.213338,49.720886
0,-97.212119,49.719522
0,-97.215587,49.720043
0,-97.212919,49.720675
0,-97.211617,49.722454
0,-97.213675,49.722731
0,-97.216978,49.720512
0,-97.214206,49.715764
0,-97.210479,49.721014
0,-97.211946,49.721908
0,-97.217897,49.717302
0,-97.212969,49.71824
0,-97.218364,49.715143
0,-97.213045,49.721556
0,-97.21873,49.717409
0,-97.2183,49.718877
0,-97.213946,49.721943
0,-97.211327,49.720503
0,-97.212474,49.717614
0,-97.216424,49.720207
0,-97.219183,49.72245
0,-97.219641,49.716902
0,-97.2163,49.718072
0,-97.211453,49.719794
0,-97.216419,49.71875
0,-97.217306,49.716116
0,-97.218284,49.721276
0,-97.213364,49.719472
0,-97.21682,49.722828
0,-97.218807,49.714471
0,-97.219551,49.71922
0,-97.218454,49.715479
0,-97.219725,49.718592
0,-97.218872,49.721384
0,-97.211172,49.719315
0,-97.210914,49.719553
0,-97.215195,49.715673
0,-97.215425,49.720943
0,-97.216571,49.717801
0,-97.212589,49.721242
0,-97.214151,49.71774
0,-97.215976,49.719261
0,-97.214187,49.720771
0,-97.215295,49.715466
0,-97.213489,49.717604
0,-97.217038,49.720042
0,-97.219853,49.713807
0,-97.213446,49.722863
0,-97.210478,49.718473
0,-97.212418,49.719484
0,-97.216063,49.715967
0,-97.212091,49.720259
0,-97.214643,49.719611
0,-97.21367,49.721497
0,-97.217667,49.716434
0,-97.219767,49.717504
0,-97.216016,49.719742
0,-97.211648,49.721665
0,-97.214896,49.720705
0,-97.216645,49.720409
0,-97.219103,49.722052
0,-97.214008,49.719152
0,-97.213256,49.721159
0,-97.216524,49.715449
0,-97.217642,49.720115
0,-97.212144,49.722542
